,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
10,-6.605611392,-6.605611392,-6.605611392,-6.605611392,-6.416788088831999,-6.449188088831999,-6.3745552355327995,-6.416788088831999,-6.449188088831999,-6.3745552355327995,-6.416788088831999,-6.449188088831999,-6.3745552355327995,-6.416788088831999,-6.449188088831999,-6.3745552355327995,-6.416788088831999,-6.449188088831999,-6.3745552355327995,-6.416788088831999,-6.449188088831999,-6.3745552355327995,-6.416788088831999,-6.449188088831999,-6.3745552355327995,-6.416788088831999,-6.449188088831999,-6.3745552355327995,-6.416788088831999,-6.449188088831999,-6.3745552355327995,-6.416788088831999
11,-4.73466,-4.73466,-4.73466,-4.73466,-5.01,-5.8944,-4.728,-5.01,-5.8944,-5.219999999999999,-6.0327,-5.8944,-5.219999999999999,-5.01,-5.8944,-5.219999999999999,-5.01,-5.8944,-5.219999999999999,-5.01,-5.8944,-5.219999999999999,-6.0327,-5.8944,-5.219999999999999,-5.01,-5.8944,-5.219999999999999,-5.01,-5.8944,-5.219999999999999,-5.01
12,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.8099999999999996,-3.8099999999999996,-3.8099999999999996,-4.220184,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-3.0,-3.0,-3.8099999999999996,-3.8099999999999996,-3.8099999999999996,-4.220184,0.0,0.0,0.0,0.0,0.0,0.0
13,-6.027863999999999,-6.027863999999999,-6.027863999999999,-6.027863999999999,-5.814,-6.3567,-6.3567,-6.3567,-6.3567,-5.01,-5.01,-5.01,-5.01,-5.01,-5.01,-5.01,-5.01,-5.01,-5.814,-6.3567,-6.3567,-6.3567,-6.3567,-5.01,-5.01,-6.166091037387839,-5.01,-5.01,-5.01,-6.166091037387839,-5.01,-5.01
14,-8.18142927522253,-8.18142927522253,-8.18142927522253,-8.18142927522253,-8.026344344855039,-8.163826775910529,-8.04019599285504,-8.163657959761958,-8.026344344855039,-8.163826775910529,-8.04019599285504,-8.163657959761958,-8.026344344855039,-8.163826775910529,-8.04019599285504,-8.163657959761958,-8.026344344855039,-8.163826775910529,-8.04019599285504,-8.163657959761958,-8.026344344855039,-8.163826775910529,-8.04019599285504,-8.163657959761958,-8.026344344855039,-8.163826775910529,-8.04019599285504,-8.163657959761958,-8.026344344855039,-8.163826775910529,-8.04019599285504,-8.163657959761958
15,-2.595,-2.595,-2.595,-2.595,-3.0,-63.0,-3.0,-1.8659999999999999,-3.0,-3.0,-3.0,-1.8659999999999999,-3.0,-3.0,-3.0,-1.8659999999999999,0.0,0.0,-3.0,-1.8659999999999999,0.0,0.0,-3.0,-3.0,0.0,0.0,-3.0,-3.0,0.0,0.0,0.0,-3.0
16,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.9,0.0,0.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0
17,-6.3567,-6.3567,-6.3567,-6.3567,-6.3567,-5.814,-5.8563528,-6.3567,-6.3567,-6.3567,-5.8563528,-5.01,-5.01,-5.01,-5.8563528,-5.01,-6.3567,-5.814,-5.8563528,-6.3567,-6.3567,-6.3567,-5.8563528,-5.01,-5.01,-5.01,-5.8563528,-5.01,-6.3567,-5.814,-5.8563528,-6.3567
18,-7.258989,-7.258989,-7.258989,-7.258989,-7.156506706252799,-7.794822012973439,-7.403462266214399,-7.403462266214399,-7.156450765631998,-7.156450765631998,-7.156450765631998,-7.156450765631998,-7.156450765631998,-7.156450765631998,-7.156450765631998,-7.156450765631998,-7.156506706252799,-7.156450765631998,-7.403462266214399,-7.403462266214399,-7.156450765631998,-7.156450765631998,-7.794822012973439,-7.156450765631998,-7.156450765631998,-7.156450765631998,-7.156450765631998,-7.156450765631998,-7.156506706252799,-7.156450765631998,-7.403462266214399,-7.403462266214399
19,-2.595,-2.595,-2.595,-2.595,-3.87156,-4.00833984,-3.2657798999039995,0.0,0.0,0.0,0.0,0.0,-3.1926105600000003,-2.04,0.0,0.0,-3.87156,-4.00833984,-3.2657798999039995,0.0,-2.04,0.0,0.0,0.0,-3.1926105600000003,0.0,0.0,-2.04,-3.87156,-4.00833984,-3.2657798999039995,0.0
20,-2.214624,-2.214624,-2.214624,-2.214624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,-3.53865,-3.53865,-3.53865,-3.53865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,-3.8099999999999996,-3.8099999999999996,-3.8099999999999996,-3.8099999999999996,-4.1339999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1339999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
