,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
10,-1.8044400000000005,-1.8044400000000005,-1.8044400000000005,-1.8044400000000005,2.4,0.0,-1.1489999999999998,0.0,0.0,0.0,-1.1489999999999998,0.0,-3.0,0.0,-1.1489999999999998,0.0,0.0,0.0,-1.1489999999999998,0.0,0.0,0.0,-1.1489999999999998,0.0,0.0,-2.352,-1.1489999999999998,0.0,2.4,0.0,-1.1489999999999998,0.0
11,4.427999999999999,4.427999999999999,4.427999999999999,4.427999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,-2.352,-2.352,-2.352,-2.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2386,0.0,0.0,0.0,-2.2386,0.0,0.0,0.0,-2.2386,0.0,0.0,0.0,-2.2386,0.0,0.0,0.0,-2.2386,0.0,0.0,0.0,-2.2386,0.0,0.0,0.0,-2.2386
14,-3.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1.7808000000000002,1.7808000000000002,1.7808000000000002,1.7808000000000002,-0.6479999999999997,-0.6479999999999997,-0.6479999999999997,-0.6479999999999997,-0.6479999999999997,-0.6479999999999997,-0.6479999999999997,-0.6479999999999997,-0.6479999999999997,-0.6479999999999997,-0.6479999999999997,-0.6479999999999997,-0.6479999999999997,-0.6479999999999997,-0.6479999999999997,-0.6479999999999997,-0.6479999999999997,-0.6479999999999997,-0.6479999999999997,-0.6479999999999997,-0.6479999999999997,-0.6479999999999997,-0.6479999999999997,-0.6479999999999997,-0.6479999999999997,-0.6479999999999997,-0.6479999999999997,-0.6479999999999997
16,-5.677360759300841,-5.677360759300841,-5.677360759300841,-5.677360759300841,-6.743225402973283,-4.210505093524936,-4.210505093524936,-4.210505093524936,-4.210505093524936,-4.210505093524936,-4.210505093524936,-4.210505093524936,-4.210505093524936,-4.210505093524936,-4.210505093524936,-4.210505093524936,-4.210505093524936,-6.743225402973283,-4.210505093524936,-4.210505093524936,-4.210505093524936,-4.210505093524936,-4.210505093524936,-4.210505093524936,-4.210505093524936,-4.210505093524936,-4.210505093524936,-4.210505093524936,-4.210505093524936,-4.210505093524936,-6.743225402973283,-4.210505093524936
17,-1.995,-1.995,-1.995,-1.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,-2.595,-2.595,-2.595,-2.595,-2.6167728,-4.02708,-4.0676634624,-3.81,-4.65280662,-2.7764980607999994,-2.6167728,-4.02708,-4.0676634624,-3.81,-2.6598,-4.527926976,-2.6167728,-4.02708,-4.0676634624,-3.81,0.0,0.0,-2.6167728,-4.02708,-4.0676634624,-3.81,-4.65280662,-2.7764980607999994,-2.6167728,-4.02708,-4.0676634624,-3.81
19,-5.603549296660813,-5.603549296660813,-5.603549296660813,-5.603549296660813,-2.8872082411824658,-3.81,-3.9264610559999986,-5.175078790883237,2.2820945279999996,-5.89927984512,-4.347840148411699,-4.3278816,-4.143540584538624,-4.3001430030335985,-4.33005720121344,-6.268402310422725,-4.666984020808222,-2.8872082411824658,-3.81,-3.9264610559999986,-5.175078790883237,2.2820945279999996,-5.89927984512,-4.347840148411699,-4.3278816,-4.143540584538624,-4.3001430030335985,-4.33005720121344,-6.268402310422725,-4.666984020808222,-2.8872082411824658,-3.81
20,-7.72359646718091,-7.72359646718091,-7.72359646718091,-7.72359646718091,-5.1133848063526255,-6.771637599259783,-5.708655039703913,-6.771637599259783,-5.708655039703913,-6.771637599259783,-5.708655039703913,-6.771637599259783,-5.708655039703913,-6.771637599259783,-5.708655039703913,-5.1133848063526255,-5.708655039703913,-6.771637599259783,-5.708655039703913,-6.771637599259783,-5.708655039703913,-6.771637599259783,-5.708655039703913,-6.771637599259783,-5.708655039703913,-6.771637599259783,-5.1133848063526255,-6.771637599259783,-5.708655039703913,-6.771637599259783,-5.708655039703913,-6.771637599259783
21,-6.160342728222197,-6.160342728222197,-6.160342728222197,-6.160342728222197,-6.160342728222197,-6.160342728222197,-6.160342728222197,-6.160342728222197,-6.160342728222197,-6.160342728222197,-6.160342728222197,-6.160342728222197,-6.160342728222197,-6.160342728222197,-6.160342728222197,-6.160342728222197,-6.160342728222197,-6.160342728222197,-6.160342728222197,-6.160342728222197,-6.160342728222197,-6.160342728222197,-6.160342728222197,-6.160342728222197,-6.160342728222197,-6.160342728222197,-6.160342728222197,-6.160342728222197,-6.160342728222197,-6.160342728222197,-6.160342728222197,-6.160342728222197
